Timestamp,Name,Gender,Phone Number,Registration Number,Year of Study (4th years not allowed),Level of Exprience
26/08/2026 10:25:00,Laksh Chaudhary,Male,9800003288,261090050024,1st Year,No experience or Beginner
27/08/2026 10:26:00,Veer Saxena,Male,9800003425,261090050025,2nd Year,Nationals or States
01/08/2026 10:27:00,Devansh Kapoor,Male,9800003562,261090050026,3rd Year,District or Local Tournaments
02/08/2026 10:28:00,Aarush Ghosh,Male,9800003699,261090050027,1st Year,School
03/08/2026 10:29:00,Nakul Naidu,Male,9800003836,261090050028,2nd Year,Casual
04/08/2026 10:30:00,Tejas Banerjee,Male,9800003973,261090050029,3rd Year,No experience or Beginner
05/08/2026 10:31:00,Harsh Vardhan,Male,9800004110,261090050030,1st Year,Nationals or States
06/08/2026 10:32:00,Manav Trivedi,Male,9800004247,261090050031,2nd Year,District or Local Tournaments
07/08/2026 10:33:00,Rishab Shetty,Male,9800004384,261090050032,3rd Year,School
08/08/2026 10:34:00,Yash Deshmukh,Male,9800004521,261090050033,1st Year,Casual
09/08/2026 10:35:00,Karan Dubey,Male,9800004658,261090050034,2nd Year,No experience or Beginner
10/08/2026 10:36:00,Aadhya Sharma,Female,9800013700,261090050100,1st Year,Nationals or States
11/08/2026 10:37:00,Ananya Gupta,Female,9800013837,261090050101,2nd Year,District or Local Tournaments
12/08/2026 10:38:00,Diya Nair,Female,9800013974,261090050102,3rd Year,School
13/08/2026 10:39:00,Ira Reddy,Female,9800014111,261090050103,1st Year,Casual
14/08/2026 10:40:00,Myra Mehta,Female,9800014248,261090050104,2nd Year,No experience or Beginner
15/08/2026 10:41:00,Anika Krishnan,Female,9800014385,261090050105,3rd Year,Nationals or States
16/08/2026 10:42:00,Saanvi Iyer,Female,9800014522,261090050106,1st Year,District or Local Tournaments
17/08/2026 10:43:00,Kiara Rao,Female,9800014659,261090050107,2nd Year,School
18/08/2026 10:44:00,Aarohi Verma,Female,9800014796,261090050108,3rd Year,Casual
19/08/2026 10:45:00,Riya Das,Female,9800014933,261090050109,1st Year,No experience or Beginner
20/08/2026 10:46:00,Navya Chauhan,Female,9800015070,261090050110,2nd Year,Nationals or States
21/08/2026 10:47:00,Prisha Khan,Female,9800015207,261090050111,3rd Year,District or Local Tournaments
22/08/2026 10:48:00,Sara Patel,Female,9800015344,261090050112,1st Year,School
23/08/2026 10:49:00,Avni Malhotra,Female,9800015481,261090050113,2nd Year,Casual
24/08/2026 10:50:00,Meera Singh,Female,9800015618,261090050114,3rd Year,No experience or Beginner
25/08/2026 10:51:00,Ishita Bose,Female,9800015755,261090050115,1st Year,Nationals or States
26/08/2026 10:52:00,Zara Joseph,Female,9800015892,261090050116,2nd Year,District or Local Tournaments
27/08/2026 10:53:00,Tara Kulkarni,Female,9800016029,261090050117,3rd Year,School
01/08/2026 10:54:00,Kavya Menon,Female,9800016166,261090050118,1st Year,Casual
02/08/2026 10:55:00,Anvi Pillai,Female,9800016303,261090050119,2nd Year,No experience or Beginner
03/08/2026 10:56:00,Aarav Sharma,Male,+91 9800000000,261090050000,1st Year,School
04/08/2026 10:57:00,Vivaan Gupta,Male,09800000137,261090050001,1st Year,Nationals or States
05/08/2026 10:58:00,Aadhya Sharma,Female,98000-13700,261090050100,1st Year,District or Local Tournaments
06/08/2026 10:59:00,Rahul Nanda  , Male ,  9800008220 ,261090050060, 1st Year , Casual 
07/08/2026 10:00:00,No Phone Guy,Male,,261090050070,1st Year,School
08/08/2026 10:01:00,Confused Entry,Other,9800010960,261090050080,1st Year,Casual
